DBTune.org/classical (dbtune-classical);http://dbtune.org/classical/sparql/
ePrints3 Institutional Archive Collection (RKBExplorer) (rkb-explorer-eprints);http://eprints.rkbexplorer.com/sparql/
DBpedia (dbpedia);http://dbpedia.org/sparql
Resilient Computing Courseware (RKBExplorer) (rkb-explorer-courseware);http://courseware.rkbexplorer.com/sparql/
UK JISC (RKBExplorer) (rkb-explorer-jisc);http://jisc.rkbexplorer.com/sparql/
Fundação da Faculdade de Ciencas da Universidade de Lisboa (RKBExplorer) (rkb-explorer-lisbon);http://lisbon.rkbexplorer.com/sparql
Project Gutenberg in RDF (FU Berlin) (fu-berlin-project-gutenberg);http://www4.wiwiss.fu-berlin.de/gutendata/sparql
MediCare (fu-berlin-medicare);http://www4.wiwiss.fu-berlin.de/medicare/sparql
data.open.ac.uk, Linked Data from the Open University (data-open-ac-uk);http://data.open.ac.uk/query
ReSIST Project Wiki (RKBExplorer) (rkb-explorer-wiki);http://wiki.rkbexplorer.com/sparql/
Eurostat in RDF (FU Berlin) (fu-berlin-eurostat);http://www4.wiwiss.fu-berlin.de/eurostat/sparql
Hungarian National Library (NSZL) catalog (hungarian-national-library-catalog);http://setaria.oszk.hu/joseki/sparql
Diseasome (fu-berlin-diseasome);http://www4.wiwiss.fu-berlin.de/diseasome/sparql
LAAS-CNRS (RKBExplorer) (rkb-explorer-laas);http://laas.rkbexplorer.com/sparql/
IEEE Papers (RKBExplorer) (rkb-explorer-ieee);http://ieee.rkbexplorer.com/sparql/
Vytautas Magnus University, Kaunas (RKBExplorer) (rkb-explorer-kaunas);http://kaunas.rkbexplorer.com/sparql
